# ep	d_lat	d_lon	fecha
ESQU	0.006	0.003	2016-01-20
IGM1	0.006	-0.002	2016-01-20
LHCL	0.009	-0.020	2016-01-20
LPGS	0.013	-0.003	2016-01-20
MA01	0.005	-0.009	2016-01-20
MZAC	0.026	-0.051	2016-01-20
RWSN	0.016	0.059	2016-01-20
SL01	-0.072	-0.057	2016-01-20
SRLP	0.010	-0.021	2016-01-20
UCOR	0.003	-0.020	2016-01-20
UNRO	0.001	0.001	2016-01-20
UNSA	0.004	-0.024	2016-01-20
UYTA	0.009	-0.003	2016-01-20
VBCA	0.015	-0.018	2016-01-20
CORD	-0.001	-0.010	2016-01-20
GUAY	0.009	-0.011	2016-01-20
NESA	0.001	-0.034	2016-01-20
PEJO	-0.000	0.007	2016-01-20
PRNA	0.028	-0.008	2016-01-20
RECO	0.010	-0.010	2016-01-20
UYPA	0.012	-0.010	2016-01-20
UYSO	0.011	0.001	2016-01-20
AZUL	0.011	-0.002	2016-03-30
BCAR	-0.001	-0.000	2016-03-30
CATA	-0.011	0.001	2016-03-30
EBYP	0.001	-0.003	2016-03-30
ESQU	0.013	-0.011	2016-03-30
IGM1	0.005	-0.002	2016-03-30
LHCL	0.007	-0.020	2016-03-30
LPGS	0.011	-0.003	2016-03-30
MA01	0.001	-0.007	2016-03-30
MZAC	0.025	-0.053	2016-03-30
RWSN	0.011	0.058	2016-03-30
SL01	-0.074	-0.056	2016-03-30
SRLP	0.007	-0.019	2016-03-30
UCOR	0.001	-0.020	2016-03-30
UNRO	0.000	0.000	2016-03-30
UNSA	0.001	-0.020	2016-03-30
UYTA	0.011	0.004	2016-03-30
VBCA	0.011	-0.017	2016-03-30
CORD	-0.004	-0.011	2016-03-30
GUAY	0.008	-0.010	2016-03-30
MPL2	0.007	0.004	2016-03-30
NESA	-0.002	-0.033	2016-03-30
PEJO	-0.003	0.009	2016-03-30
PRNA	0.024	-0.009	2016-03-30
RECO	0.007	-0.009	2016-03-30
UYPA	0.011	-0.008	2016-03-30
UYSO	0.008	0.002	2016-03-30
AZUL	0.011	-0.004	2016-06-08
BCAR	-0.002	-0.001	2016-06-08
CATA	-0.010	0.003	2016-06-08
EBYP	0.001	-0.003	2016-06-08
ESQU	0.014	-0.010	2016-06-08
IGM1	0.008	-0.004	2016-06-08
LHCL	0.008	-0.022	2016-06-08
LPGS	0.011	-0.003	2016-06-08
MA01	0.001	-0.008	2016-06-08
MZAC	0.025	-0.055	2016-06-08
RWSN	0.008	0.057	2016-06-08
SRLP	0.007	-0.018	2016-06-08
UCOR	0.001	-0.023	2016-06-08
UNRO	0.003	-0.002	2016-06-08
UNSA	0.002	-0.020	2016-06-08
UYTA	0.011	0.004	2016-06-08
VBCA	0.010	-0.018	2016-06-08
CORD	-0.007	-0.011	2016-06-08
GUAY	0.010	-0.006	2016-06-08
MPL2	0.008	0.003	2016-06-08
NESA	-0.003	-0.033	2016-06-08
PEJO	-0.004	0.007	2016-06-08
RECO	0.009	-0.010	2016-06-08
UYPA	0.009	-0.008	2016-06-08
UYSO	0.007	0.002	2016-06-08
AZUL	0.010	-0.003	2016-08-10
BCAR	-0.003	0.000	2016-08-10
CATA	-0.017	-0.000	2016-08-10
EBYP	-0.002	-0.003	2016-08-10
